driverid,first_name,last_name,email,password,phone_number,city,seats,average_shift_length
1a49380a-b7a7-4ebd-9edd-9841312f6dd4,Jonathan,Russell,JonathanRussell@gmail.com,1!ZionTF,206-242-676,Seattle,4,378.58234206765167
dd5b8c68-593e-4433-8b47-4c42999376f3,Bryan,Thompson,BryanThompson@gmail.com,1!ZionTF,425-788-953,Everett,3,498.1407879013246
628f76b8-f90b-4a61-a6b2-5d7ab123c5a3,Michael,Stein,MichaelStein@gmail.com,1!ZionTF,425-576-424,Everett,5,459.48324011167324
11057447-ddaa-4b01-b78a-4289c130da97,Bobby,Lopez,BobbyLopez@gmail.com,1!ZionTF,206-213-351,Seattle,2,159.36387406185122
613ecaef-6106-4697-b07f-a40688ff661a,Brian,Carter,BrianCarter@gmail.com,1!ZionTF,253-864-281,Tacoma,3,210.4769357511489
db9d463b-25a5-43af-b8b2-77ab053f93cd,Carrie,Morales,CarrieMorales@gmail.com,1!ZionTF,206-444-298,Seattle,4,517.045335152813
588b1637-8a06-4c7d-97f5-7d001180b4ec,Sherri,Hamilton,SherriHamilton@gmail.com,1!ZionTF,425-633-499,Everett,2,205.79709686173018
5f64dec8-5b6b-414d-a5b3-8224c1126414,Sabrina,Cole,SabrinaCole@gmail.com,1!ZionTF,425-894-988,Bellevue,5,54.41334349376946
a38488d3-1d03-4fa5-b881-1e7ea09be5a6,Daniel,Moore,DanielMoore@gmail.com,1!ZionTF,425-737-532,Bellevue,4,562.913388327234
c4db3b0d-fdcd-46f1-b518-ab2be0cd22e7,Jim,Wyatt,JimWyatt@gmail.com,1!ZionTF,253-477-187,Tacoma,3,331.40295725321545
3137ca2a-a84b-4ae0-82c6-0e16cfbc9d19,Jose,Chapman,JoseChapman@gmail.com,1!ZionTF,425-873-379,Everett,3,503.6426958604441
8d7c0af8-675a-412c-9117-a6d1fe037577,Lisa,Hoffman,LisaHoffman@gmail.com,1!ZionTF,253-577-621,Tacoma,4,509.69346762095086
41405565-d751-476f-a080-f3c5414412e1,Ryan,Robinson,RyanRobinson@gmail.com,1!ZionTF,206-174-186,Seattle,2,61.755085229609065
48d5c3f1-95e0-472c-85ab-f60f698411c3,Carmen,Lee,CarmenLee@gmail.com,1!ZionTF,425-389-694,Bellevue,2,402.29112339621116
055dcb24-4230-4f69-8a98-ed22d16b0bbd,Jim,Moody,JimMoody@gmail.com,1!ZionTF,206-815-574,Seattle,2,265.2950641283164
da81b27d-d382-4b7b-8d56-2c9ff226dfcf,Roger,Rodriguez,RogerRodriguez@gmail.com,1!ZionTF,253-537-589,Tacoma,3,536.6453635276688
ae8a4639-c251-4614-83ae-08e8b7bff7af,Kimberly,Scott,KimberlyScott@gmail.com,1!ZionTF,425-783-632,Everett,4,474.1676009511926
e430c17f-86d4-4e04-ac1f-a6812faa6262,James,Cooper,JamesCooper@gmail.com,1!ZionTF,206-357-367,Seattle,2,570.3788355617343
7453f34f-5ea2-4bad-b6ad-b859db344e91,Gloria,Oconnor,GloriaOconnor@gmail.com,1!ZionTF,206-167-454,Seattle,3,108.27131074160145
430941ad-a0d5-48b6-bb40-9e218b74816f,Randall,Chavez,RandallChavez@gmail.com,1!ZionTF,206-373-658,Seattle,5,537.2370960786868
1501e047-ee36-401b-9845-cbe417fd5c21,Nathaniel,Sandoval,NathanielSandoval@gmail.com,1!ZionTF,206-842-737,Seattle,4,493.7690603657345
50dfd798-16e1-4680-aad0-ce2c89ef5350,Ryan,Rodriguez,RyanRodriguez@gmail.com,1!ZionTF,206-686-315,Seattle,2,485.0762859457876
8c8d1238-4020-4ca9-83e3-4baf6c620f7e,Rachel,Dudley,RachelDudley@gmail.com,1!ZionTF,253-552-937,Tacoma,3,517.6807042648429
50bf5be7-e6be-490d-a3f3-ae07423bfd35,Cody,Davis,CodyDavis@gmail.com,1!ZionTF,425-742-324,Everett,5,136.00665232688553
6fbd0bc4-2ee6-4c3f-aec9-3433c6c1f4c9,Yvette,Sims,YvetteSims@gmail.com,1!ZionTF,425-352-822,Bellevue,2,579.674906099837
10a399cf-d8df-4fa2-8c6e-ab8d0a2d3a9f,Bradley,Harris,BradleyHarris@gmail.com,1!ZionTF,425-317-655,Everett,2,57.4693413225222
a8fdf823-d0f9-4b0e-af85-0d6444d2b55a,Joseph,Rice,JosephRice@gmail.com,1!ZionTF,253-794-931,Tacoma,4,421.81187750586145
078f1f47-96fa-4a6b-817f-fc09e0d0038d,Brian,Dunn,BrianDunn@gmail.com,1!ZionTF,425-689-318,Bellevue,3,328.305797297887
98e7ceb6-8884-4f99-ac75-3d168fcbf7f1,Matthew,Garcia,MatthewGarcia@gmail.com,1!ZionTF,425-436-524,Everett,3,181.9036531902277
4e652adc-301d-4bd4-abc1-3dace88e17a3,James,Mccall,JamesMccall@gmail.com,1!ZionTF,425-543-925,Everett,5,492.39768157183175
53f7f3a0-9614-4036-b171-3f9b2f03dfb1,Amber,Pratt,AmberPratt@gmail.com,1!ZionTF,206-357-733,Seattle,4,93.20750068246207
f3e26f2b-6457-46c9-9dbd-391169bb108e,Christopher,Houston,ChristopherHouston@gmail.com,1!ZionTF,206-728-186,Seattle,5,355.12885317417255
99a2443b-a0d3-4998-b49b-edb62fc8a3a8,Joy,Hutchinson,JoyHutchinson@gmail.com,1!ZionTF,253-854-996,Tacoma,3,565.9044705892734
d24fbcf9-7d35-4880-a27c-8c77243874c4,Linda,Fisher,LindaFisher@gmail.com,1!ZionTF,425-684-579,Everett,3,82.12665525423036
7274264c-0b4b-4067-a755-aa351bbff66c,Megan,Norton,MeganNorton@gmail.com,1!ZionTF,425-798-129,Bellevue,3,430.9303083565042
0c4d117b-3bb3-4982-baa4-ad28f2063c80,Ann,Jackson,AnnJackson@gmail.com,1!ZionTF,425-448-521,Everett,4,488.08544711536524
